model,mae,mse,rmse,mape,smape,r2,explained_variance
sarima,4.585029251979947,32.75062161300131,5.722815881452181,64.97713275792721,35.091939294034624,0.7691485576239835,0.7702053045725615
xgboost,4.7446852960039125,35.378076158439505,5.947947222230499,64.46392712053508,36.047750993566176,0.7506282474216562,0.7516967681250706
gru,8.883519810553125,114.64850706750991,10.707404310453112,115.750507053395,58.550207031139266,0.19186959149853722,0.2051405619015254
arima,10.429728681661272,156.71586184629265,12.518620604774819,192.54289275340273,56.922255832194004,-0.10465331552837598,-0.08372640239409224
